name	population
    Faroe Islands	0
    Vietnam	0
    United States Minor Outlying Islands	0
    United States of America	1
    Indonesia	2
    Philippines	3
    Thailand	4
    United Kingdom	5
    Malaysia	6
    India	7
    Federated States of Micronesia	0
    Hong Kong	8
    Canada	9
    Serranilla Bank	0
    Singapore	10
    Scarborough Reef	0
    Australia	11
    France	12
    Kiribati	0
    South Korea	13
    Japan	14
    Germany	15
    United Arab Emirates	16
    Bajo Nuevo Bank (Petrel Is.)	0
    Cambodia	17
    Netherlands	18
    Spratly Islands	0
    Myanmar	19
    Spain	20
    Turkey	21
    American Samoa	0
    Switzerland	22
    Italy	23
    China	24
    Greenland	0
    Guam	0
    Poland	25
    Brazil	26
    Northern Mariana Islands	0
    Puerto Rico	0
    Sweden	27
    United States Virgin Islands	0
    South Africa	28
    Denmark	29
    Mexico	30
    Sao Tome and Principe	0
    Cape Verde	0
    Austria	31
    Dominica	0
    Russia	32
    Ireland	33
    Jamaica	0
    Bangladesh	34
    Samoa	0
    Mauritius	35
    Oman	0
    Palau	36
    Ukraine	37
    Belgium	38
    Czech Republic	39
    Saint Lucia	0
    Pakistan	40
    Nauru	0
    Argentina	41
    Israel	42
    Sri Lanka	43
    Bahrain	0
    Finland	44
    Tonga	0
    Panama	45
    Honduras	46
    Latvia	47
    New Zealand	48
    Solomon Islands	49
    Ecuador	50
    Hungary	51
    Nepal	52
    Nigeria	53
    Tuvalu	0
    Kazakhstan	54
    Marshall Islands	0
    Laos	55
    Paraguay	56
    Saudi Arabia	57
    Grenada	0
    Costa Rica	58
    Dominican Republic	59
    Antigua and Barbuda	0
    Ethiopia	60
    Taiwan	0
    61	61
    Barbados	0
    Kenya	62
    Kyrgyzstan	63
    Portugal	64
    Vanuatu	0
    Egypt	65
    Belize	66
    Cyprus	0
    Colombia	67
    Iran	68
    Comoros	0
    Lithuania	69
    Maldives	70
    Fiji	0
    Malta	71
    Vatican	0
    Mongolia	72
    Norway	73
    San Marino	0
    Peru	74
    Azerbaijan	0
    Qatar	75
    Tajikistan	0
    Romania	76
    Lesotho	0
    Swaziland	77
    Algeria	78
    Morocco	0
    Cameroon	79
    El Salvador	80
    East Timor	0
    Gambia	81
    Greece	82
    Iraq	83
    Malawi	84
    Trinidad and Tobago	85
    United Republic of Tanzania	86
    Yemen	0
    Venezuela	87
    Angola	88
    Bolivia	89
    Bulgaria	90
    Belarus	91
    Chad	92
    Chile	93
    Croatia	94
    Estonia	95
    Mozambique	0
    Ghana	96
    Guinea	97
    Haiti	98
    Benin	0
    Jordan	99
    Kuwait	100
    Lebanon	101
    Sierra Leone	0
    Luxembourg	102
    Guinea Bissau	0
    Mauritania	103
    Nicaragua	104
    Papua New Guinea	105
    Saint Kitts and Nevis	106
    Saint Vincent and the Grenadines	107
    Central African Republic	0
    Seychelles	108
    Sudan	0
    Democratic Republic of the Congo	0
    Tunisia	109
    Uzbekistan	110
    North Korea	0
    Guyana	0
    Gabon	0
    Equatorial Guinea	0
    Uganda	0
    Armenia	0
    Somaliland	0
    Turkmenistan	0
    Zambia	0
    Northern Cyprus	0
    Eritrea	0
    Slovenia	0
    Guatemala	0
    Bosnia and Herzegovina	0
    Syria	0
    Monaco	0
    Albania	0
    Uruguay	0
    Cyprus No Mans Area	0
    Rwanda	0
    Somalia	0
    Republic of Congo	0
    Western Sahara	0
    Republic of Serbia	0
    Montenegro	0
    Togo	0
    Afghanistan	0
    Slovakia	0
    Siachen Glacier	0
    Liechtenstein	0
    Niger	0
    Andorra	0
    Ivory Coast	0
    Liberia	0
    Brunei	0
    Georgia	0
    Kosovo	0
    Djibouti	0
    Burundi	0
    Suriname	0
    Mali	0
    Senegal	0
    Zimbabwe	0
    Macedonia	0
    Burkina Faso	0
    Namibia	0
    Libya	0
    Bhutan	0
    Moldova	0
    South Sudan	0
    Botswana	0
    The Bahamas	0
    Cuba	0
    Madagascar	0
    Iceland	0
    Macau	0
